upload_priority,sku,level,board,board_label,tier_scope,final_title_en,title_variant_used,final_title_len,listing_title_short_en,listing_title_mobile_en,price_early_bird,price_regular,payhip_url_seed
4,L1-CIE0580-E1-15,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-15 Time (Extended),short,30,CIE 0580 E1-15 Time (Extended),CIE 0580 E1-15 Time (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-15
4,L1-CIE0580-E1-16,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-16 Money (Extended),short,31,CIE 0580 E1-16 Money (Extended),CIE 0580 E1-16 Money (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-16
4,L1-CIE0580-E1-17,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-17 Exp Growth/Decay (Extended),short,42,CIE 0580 E1-17 Exp Growth/Decay (Extended),CIE 0580 E1-17 Exp Growth/Decay (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-17
4,L1-CIE0580-E1-18,L1,cie0580,CIE 0580,Extended,CIE 0580 E1-18 Surds (Extended),short,31,CIE 0580 E1-18 Surds (Extended),CIE 0580 E1-18 Surds (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e1-18
4,L1-CIE0580-E2-01,L1,cie0580,CIE 0580,Extended,CIE 0580 E2-01 Introduction To Algebra (Extended),short,49,CIE 0580 E2-01 Introduction To Algebra (Extended),CIE 0580 E2-01 Introduction To Algebra (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-01
4,L1-CIE0580-E2-02,L1,cie0580,CIE 0580,Extended,CIE 0580 E2-02 Algebraic Manipulation (Extended),short,48,CIE 0580 E2-02 Algebraic Manipulation (Extended),CIE 0580 E2-02 Algebraic Manipulation (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-02
4,L1-CIE0580-E2-03,L1,cie0580,CIE 0580,Extended,CIE 0580 E2-03 Algebraic Fractions (Extended),short,45,CIE 0580 E2-03 Algebraic Fractions (Extended),CIE 0580 E2-03 Algebraic Fractions (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-03
4,L1-CIE0580-E2-04,L1,cie0580,CIE 0580,Extended,CIE 0580 E2-04 Indices Ii (Extended),short,36,CIE 0580 E2-04 Indices Ii (Extended),CIE 0580 E2-04 Indices Ii (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-04
4,L1-CIE0580-E2-05,L1,cie0580,CIE 0580,Extended,CIE 0580 E2-05 Equations (Extended),short,35,CIE 0580 E2-05 Equations (Extended),CIE 0580 E2-05 Equations (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-05
4,L1-CIE0580-E2-06,L1,cie0580,CIE 0580,Extended,CIE 0580 E2-06 Inequalities (Extended),short,38,CIE 0580 E2-06 Inequalities (Extended),CIE 0580 E2-06 Inequalities (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-06
4,L1-CIE0580-E2-07,L1,cie0580,CIE 0580,Extended,CIE 0580 E2-07 Sequences (Extended),short,35,CIE 0580 E2-07 Sequences (Extended),CIE 0580 E2-07 Sequences (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-07
4,L1-CIE0580-E2-08,L1,cie0580,CIE 0580,Extended,CIE 0580 E2-08 Proportion (Extended),short,36,CIE 0580 E2-08 Proportion (Extended),CIE 0580 E2-08 Proportion (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-08
4,L1-CIE0580-E2-09,L1,cie0580,CIE 0580,Extended,CIE 0580 E2-09 Graphs In Practical Situations (Extended),short,56,CIE 0580 E2-09 Graphs In Practical Situations (Extended),CIE0580 E2-09 Graphs In Practical Situations (Ext),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-09
4,L1-CIE0580-E2-10,L1,cie0580,CIE 0580,Extended,CIE 0580 E2-10 Graphs Of Functions (Extended),short,45,CIE 0580 E2-10 Graphs Of Functions (Extended),CIE 0580 E2-10 Graphs Of Functions (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-10
4,L1-CIE0580-E2-11,L1,cie0580,CIE 0580,Extended,CIE 0580 E2-11 Sketching Curves (Extended),short,42,CIE 0580 E2-11 Sketching Curves (Extended),CIE 0580 E2-11 Sketching Curves (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-11
4,L1-CIE0580-E2-12,L1,cie0580,CIE 0580,Extended,CIE 0580 E2-12 Differentiation (Extended),short,41,CIE 0580 E2-12 Differentiation (Extended),CIE 0580 E2-12 Differentiation (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-12
4,L1-CIE0580-E2-13,L1,cie0580,CIE 0580,Extended,CIE 0580 E2-13 Functions (Extended),short,35,CIE 0580 E2-13 Functions (Extended),CIE 0580 E2-13 Functions (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-13
4,L1-CIE0580-E3-01,L1,cie0580,CIE 0580,Extended,CIE 0580 E3-01 Coordinates (Extended),short,37,CIE 0580 E3-01 Coordinates (Extended),CIE 0580 E3-01 Coordinates (Extended),US$3,US$4,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e3-01
